0.577777778,0.89
1.161111111,0.85
1.666666667,0.82
1.711111111,0.82
1.183333333,0.86
1.205555556,0.85
2.222222222,0.79
2.072222222,0.81
2.2,0.8
2.733333333,0.82
2.788888889,0.83
3.822222222,0.82
4.911111111,0.77
6.205555556,0.76
7.438888889,0.72
6.95,0.74
5.972222222,0.81
5.905555556,0.8
4.955555556,0.86
5.472222222,0.83
5.972222222,0.8
4.933333333,0.86
5.472222222,0.87
5.422222222,0.86
5.422222222,0.86
2.35,0.91
5.422222222,0.8
5.905555556,0.8
5.966666667,0.8
5.95,0.77
5.95,0.77
6.733333333,0.74
5.927777778,0.77
6.944444444,0.73
6.944444444,0.73
7.505555556,0.73
6.994444444,0.8
7.044444444,0.86
7.016666667,0.86
7.016666667,0.87
6.538888889,0.9
5.933333333,0.93
4.866666667,0.93
3.944444444,0.99
2.855555556,0.96
2.805555556,0.92
2.311111111,0.92
1.694444444,0.92
1.694444444,0.92
1.733333333,0.95
1.666666667,0.92
1.666666667,0.92
1.716666667,0.92
2.2,0.86
2.2,0.86
2.205555556,0.87
2.2,0.92
2.222222222,0.86
2.788888889,0.84
2.777777778,0.89
2.85,0.89
2.9,0.89
2.85,0.89
2.827777778,0.89
2.844444444,0.89
2.777777778,0.89
2.244444444,0.92
2.355555556,0.92
2.244444444,0.92
2.244444444,0.92
2.255555556,0.92
2.2,0.89
2.2,0.89
1.7,0.92
1.716666667,0.96
1.716666667,0.96
1.716666667,0.95
2.2,0.92
2.2,0.92
2.138888889,0.92
2.177777778,0.92
2.2,0.92
2.266666667,0.86
2.25,0.92
2.777777778,0.89
2.283333333,0.86
2.316666667,0.84
2.8,0.89
2.811111111,0.89
2.755555556,0.89
2.755555556,0.89
2.738888889,0.89
2.733333333,0.89
2.222222222,0.92
2.233333333,0.9
1.666666667,0.92
1.666666667,0.92
2.633333333,0.96
1.688888889,0.92
1.161111111,0.95
1.216666667,0.96
1.161111111,0.99
1.161111111,0.99
2.138888889,0.93
2.177777778,0.92
2.222222222,0.99
2.694444444,0.96
2.755555556,0.96
3.844444444,0.92
3.833333333,0.93
